Date,Sales,Salesimp,Staunton Jams,Salesadj
8/10/2008,800.99,800.99,0,800.99
8/11/2008,549.53,549.53,0,549.53
8/12/2008,589.21,589.21,0,589.21
8/13/2008,491.09,491.09,0,491.09
8/14/2008,782.78,782.78,0,782.78
8/15/2008,783.77,783.77,0,783.77
8/16/2008,1089.99,1089.99,0,1089.99
8/17/2008,843.92,843.92,0,843.92
8/18/2008,761.56,761.56,0,761.56
8/19/2008,653.41,653.41,0,653.41
8/20/2008,749.84,749.84,0,749.84
8/21/2008,819.3,819.3,0,819.3
8/22/2008,836.54,836.54,0,836.54
8/23/2008,1112.84,1112.84,0,1112.84
8/24/2008,920.05,920.05,0,920.05
8/25/2008,532.05,532.05,0,532.05
8/26/2008,431.89,431.89,0,431.89
8/27/2008,410.71,410.71,0,410.71
8/28/2008,362.44,362.44,0,362.44
8/29/2008,815.97,815.97,0,815.97
8/30/2008,2016.88,2016.88,1,1016.88
8/31/2008,1739.04,1739.04,0,1739.04
9/1/2008,722.22,722.22,0,722.22
9/2/2008,399.47,399.47,0,399.47
9/3/2008,450.27,450.27,0,450.27
9/4/2008,644.51,644.51,0,644.51
9/5/2008,770.44,770.44,0,770.44
9/6/2008,1093.65,1093.65,0,1093.65
9/7/2008,881.02,881.02,0,881.02
9/8/2008,346.56,346.56,0,346.56
9/9/2008,333.52,333.52,0,333.52
9/10/2008,343.45,343.45,0,343.45
9/11/2008,439.48,439.48,0,439.48
9/12/2008,936.79,936.79,0,936.79
9/13/2008,1323.2,1323.2,0,1323.2
9/14/2008,724.67,724.67,0,724.67
9/15/2008,283.14,283.14,0,283.14
9/16/2008,367.17,367.17,0,367.17
9/17/2008,465.07,465.07,0,465.07
9/18/2008,465.83,465.83,0,465.83
9/19/2008,685.29,685.29,0,685.29
9/20/2008,1175.33,1175.33,0,1175.33
9/21/2008,559.05,559.05,0,559.05
9/22/2008,351.02,351.02,0,351.02
9/23/2008,406.41,406.41,0,406.41
9/24/2008,424.03,424.03,0,424.03
9/25/2008,286.9,286.9,0,286.9
9/26/2008,362.69,362.69,0,362.69
9/27/2008,1028.19,1028.19,0,1028.19
9/28/2008,530.15,530.15,0,530.15
9/29/2008,317.67,317.67,0,317.67
9/30/2008,388.11,388.11,0,388.11
10/1/2008,365.18,365.18,0,365.18
10/2/2008,343.08,343.08,0,343.08
10/3/2008,969.65,969.65,0,969.65
10/4/2008,1124.38,1124.38,0,1124.38
10/5/2008,712.19,712.19,0,712.19
10/6/2008,382.08,382.08,0,382.08
10/7/2008,347.21,347.21,0,347.21
10/8/2008,269.57,269.57,0,269.57
10/9/2008,568.18,568.18,0,568.18
